Date,Occurrence
 1-1-1923, 19
 7-1-1923, 13
 14-1-1923, 9
 21-1-1923, 6
 28-1-1923, 13
 4-2-1923, 5
 8-2-1923, 4
 11-2-1923, 12
 18-2-1923, 7
 25-2-1923, 9
 4-3-1923, 15
 11-3-1923, 4
 18-3-1923, 14
 25-3-1923, 9
 1-4-1923, 12
 08-4-1923, 14
 8-4-1923, 7
 15-4-1923, 16
 28-4-1923, 15
 6-5-1923, 7
 13-5-1923, 11
 20-5-1923, 6
 3-6-1923, 23
 8-6-1923, 14
 10-6-1923, 9
 17-6-1923, 12
 24-6-1923, 6
 28-6-1923, 25
 15-7-1923, 16
 22-7-1923, 9
 23-7-1923, 13
 31-7-1923, 0
 4-8-1923, 0
 5-8-1923, 8
 15-8-1923, 9
 19-8-1923, 4
 26-8-1923, 18
 2-9-1923, 13
 5-9-1923, 10
 8-9-1923, 10
 16-9-1923, 20
 23-9-1923, 17
 30-9-1923, 11
 7-10-1923, 8
 10-10-1923, 11
 21-10-1923, 8
 27-10-1923, 11
 30-10-1923, 10
 4-11-1923, 7
 6-11-1923, 3
 11-11-1923, 10
 18-11-1923, 5
 24-11-1923, 3
 30-11-1923, 9
 8-12-1923, 7
 12-12-1923, 5
 13-12-1923, 9
 23-12-1923, 3
 30-12-1923, 7
