Date, Occurrence
 6-1-1924, 9
 20-1-1924, 9
 26-1-1924, 2
 2-2-1924, 14
 9-2-1924, 9
 11-2-1924, 12
 16-2-1924, 5
 23-2-1924, 7
 1-3-1924, 12
 8-3-1924, 9
 15-3-1924, 6
 22-3-1924, 4
 29-3-1924, 6
 5-4-1924, 6
 12-4-1924, 10
 19-4-1924, 16
 26-4-1924, 9
 3-5-1924, 24
 10-5-1924, 17
 17-5-1924, 7
 24-5-1924, 9
 31-5-1924, 9
 2-6-1924, 12
 7-6-1924, 48
 11-6-1924, 44
 14-6-1924, 34
 21-6-1924, 24
 27-6-1924, 37
 1-7-1924, 21
 3-7-1924, 2
 5-7-1924, 26
 12-7-1924, 31
 19-7-1924, 16
 26-7-1924, 11
 2-8-1924, 17
 9-8-1924, 1
 15-8-1924, 14
 19-8-1924, 9
 23-8-1924, 6
 26-8-1924, 7
 30-8-1924, 10
 02-9-1924, 10
 6-9-1924, 16
 13-9-1924, 28
 20-9-1924, 12
 27-9-1924, 11
 4-10-1924, 9
 7-10-1924, 5
 18-10-1924, 12
 25-10-1924, 11
 2-11-1924, 8
 8-11-1924, 20
 15-11-1924, 16
 20-11-1924, 20
 22-11-1924, 10
 1-12-1924, 5
 6-12-1924, 6
 13-12-1924, 6
 20-12-1924, 17
 24-12-1924, 11
 31-12-1924, 6
